_id,flight_iata,flight_icao,dep_iata,dep_icao,dep_terminal,dep_gate,dep_time,arr_iata,arr_icao,arr_time,status,duration,delayed,__v
63189a58ddaca31c0f993e3e,UA91,UAL91,TLV,LLBG,,B9,2022-09-07 23:25,EWR,KEWR,2022-09-08 04:20,scheduled,715,0,0
63189a58ddaca31c0f993e3f,AY1980,FIN1980,TLV,LLBG,3,,2022-09-07 23:50,HEL,EFHK,2022-09-08 04:30,scheduled,280,0,0
63189a58ddaca31c0f993e40,DL235,DAL235,TLV,LLBG,3,C09,2022-09-07 23:55,JFK,KJFK,2022-09-08 05:00,scheduled,725,0,0
63189a58ddaca31c0f993e41,EK2368,UAE2368,TLV,LLBG,3,,2022-09-07 23:55,DXB,OMDB,2022-09-08 04:15,scheduled,200,0,0
63189a58ddaca31c0f993e42,FZ1628,FDB1628,TLV,LLBG,3,,2022-09-07 23:55,DXB,OMDB,2022-09-08 04:15,scheduled,200,0,0
63189a58ddaca31c0f993e43,RO154,ROT154,TLV,LLBG,3,,2022-09-07 23:55,OTP,LROP,2022-09-08 02:40,scheduled,165,0,0
63189a58ddaca31c0f993e44,AM7893,AMX7893,TLV,LLBG,3,,2022-09-08 00:05,JFK,KJFK,2022-09-08 04:55,scheduled,710,0,0
63189a58ddaca31c0f993e45,LY3,ELY3,TLV,LLBG,3,,2022-09-08 00:05,JFK,KJFK,2022-09-08 04:55,scheduled,710,0,0
63189a58ddaca31c0f993e46,AR7851,ARG7851,TLV,LLBG,3,,2022-09-08 00:15,MIA,KMIA,2022-09-08 06:30,scheduled,795,0,0
63189a58ddaca31c0f993e47,LY17,ELY17,TLV,LLBG,3,,2022-09-08 00:15,MIA,KMIA,2022-09-08 06:30,scheduled,795,0,0
63189a58ddaca31c0f993e48,HM21,SEY21,TLV,LLBG,3,,2022-09-08 00:25,SEZ,FSIA,2022-09-08 07:45,scheduled,380,0,0
63189a58ddaca31c0f993e49,LY27,ELY27,TLV,LLBG,3,,2022-09-08 00:30,EWR,KEWR,2022-09-08 05:15,scheduled,705,20,0
63189a58ddaca31c0f993e4a,EK2346,UAE2346,TLV,LLBG,3,,2022-09-08 00:35,DXB,OMDB,2022-09-08 04:50,scheduled,195,0,0
